Interna;Nombre;Puede ser vendido;Puede ser comprado;Tipo de producto;Politica de facturación;Precio Dólar;Precio de venta;Impuesto compra;Impuesto venta;Coste;Resposable
INV-0038;Soporte del auto para smartphone;True;False;Almacenable;Cantidades pedidas;11;83.6;;IVA por Cobrar;66.88;Adelle Areles
INV-0039;Kit para el auto on bluetooth;True;False;Almacenable;Cantidades pedidas;36;273.6;;IVA por Cobrar;218.88;Polly Mapstone
INV-0040;GPS Spy Tec;True;False;Almacenable;Cantidades pedidas;50;380;;IVA por Cobrar;304;Adelle Areles
INV-0041;Detector de radar/Láser;True;False;Almacenable;Cantidades pedidas;30;228;;IVA por Cobrar;182.4;Polly Mapstone
INV-0042;Cubre hoyos para el asiento del auto;True;True;Almacenable;Cantidades pedidas;10;76;IVA por Pagar;IVA por Cobrar;60.8;Adelle Areles
INV-0043;Punto de acceso a wi-fi de AT&T;True;True;Almacenable;Cantidades pedidas;60;456;IVA por Pagar;IVA por Cobrar;364.8;Polly Mapstone
INV-0044;Auriculares sin cable;True;False;Almacenable;Cantidades pedidas;48;364.8;;IVA por Cobrar;291.84;Adelle Areles
INV-0045;Máquina del sueño;True;False;Almacenable;Cantidades pedidas;50;380;;IVA por Cobrar;304;Polly Mapstone
INV-0046;Jardín inteligente;True;False;Almacenable;Cantidades pedidas;60;456;;IVA por Cobrar;364.8;Adelle Areles
INV-0047;Airbar;True;False;Almacenable;Cantidades pedidas;99;752.4;;IVA por Cobrar;601.92;Polly Mapstone
INV-0048;Humificador de niebla ultrasónico;True;False;Almacenable;Cantidades pedidas;40;304;;IVA por Cobrar;243.2;Adelle Areles
INV-0049;Máscara para dormir de espuma;True;False;Almacenable;Cantidades pedidas;20;152;;IVA por Cobrar;121.6;Polly Mapstone
